date,temp_max_c
2022-06-01,36.2
2022-06-02,35.5
2022-06-03,34.8
2022-06-04,30.1
2022-06-05,33.8
2022-06-06,34.5
2022-06-07,37.0
2022-06-08,36.4
2022-06-09,37.3
2022-06-10,41.3
2022-06-11,41.7
2022-06-12,36.8
2022-06-13,31.9
2022-06-14,34.7
2022-06-15,38.0
2022-06-16,37.1
2022-06-17,25.6
2022-06-18,27.6
2022-06-19,31.0
2022-06-20,35.0
2022-06-21,40.6
2022-06-22,38.8
2022-06-23,39.0
2022-06-24,41.4
2022-06-25,42.6
2022-06-26,42.6
2022-06-27,43.6
2022-06-28,42.6
2022-06-29,41.1
2022-06-30,37.7
2022-07-01,37.5
2022-07-02,34.8
2022-07-03,31.4
2022-07-04,32.9
2022-07-05,34.2
2022-07-06,33.8
2022-07-07,35.8
2022-07-08,38.1
2022-07-09,37.8
2022-07-10,39.3
2022-07-11,41.7
2022-07-12,41.1
2022-07-13,38.7
2022-07-14,41.6
2022-07-15,42.0
2022-07-16,43.9
2022-07-17,45.0
2022-07-18,42.3
2022-07-19,42.3
2022-07-20,42.9
2022-07-21,42.3
2022-07-22,42.2
2022-07-23,41.3
2022-07-24,40.9
2022-07-25,40.2
2022-07-26,40.0
2022-07-27,39.9
2022-07-28,41.5
2022-07-29,41.5
2022-07-30,41.3
2022-07-31,40.2
2022-08-01,39.7
2022-08-02,40.4
2022-08-03,41.7
2022-08-04,42.1
2022-08-05,33.5
2022-08-06,36.9
2022-08-07,38.4
2022-08-08,37.2
2022-08-09,37.2
2022-08-10,36.8
2022-08-11,39.0
2022-08-12,39.3
2022-08-13,39.6
2022-08-14,39.9
2022-08-15,41.5
2022-08-16,43.4
2022-08-17,43.3
2022-08-18,42.3
2022-08-19,42.1
2022-08-20,42.6
2022-08-21,41.3
2022-08-22,39.7
2022-08-23,41.1
2022-08-24,42.6
2022-08-25,41.0
2022-08-26,40.5
2022-08-27,39.7
2022-08-28,37.2
2022-08-29,38.2
2022-08-30,40.0
2022-08-31,41.4
2022-09-01,43.2
2022-09-02,45.2
2022-09-03,42.9
2022-09-04,44.0
2022-09-05,44.9
2022-09-06,47.4
2022-09-07,45.8
2022-09-08,43.9
2022-09-09,43.4
2022-09-10,38.4
2022-09-11,37.7
2022-09-12,36.3
2022-09-13,32.7
2022-09-14,29.7
2022-09-15,29.4
2022-09-16,30.6
2022-09-17,30.9
2022-09-18,28.1
2022-09-19,20.2
2022-09-20,25.4
2022-09-21,25.9
2022-09-22,27.6
2022-09-23,30.6
2022-09-24,33.0
2022-09-25,34.3
2022-09-26,34.9
2022-09-27,34.0
2022-09-28,33.7
2022-09-29,32.0
2022-09-30,32.4
