Time,Large Hydro,Small Hydro
2025-06-01 00:00:00-07:00,3373,322
2025-06-01 00:05:00-07:00,3277,321
2025-06-01 00:10:00-07:00,3230,320
2025-06-01 00:15:00-07:00,3206,309
2025-06-01 00:20:00-07:00,3294,302
2025-06-01 00:25:00-07:00,3366,302
2025-06-01 00:30:00-07:00,3417,301
2025-06-01 00:35:00-07:00,3386,301
2025-06-01 00:40:00-07:00,3367,301
2025-06-01 00:45:00-07:00,3366,301
2025-06-01 00:50:00-07:00,3345,302
2025-06-01 00:55:00-07:00,3316,302
2025-06-01 01:00:00-07:00,3260,303
2025-06-01 01:05:00-07:00,3144,303
2025-06-01 01:10:00-07:00,3085,303
2025-06-01 01:15:00-07:00,3078,303
2025-06-01 01:20:00-07:00,3085,303
2025-06-01 01:25:00-07:00,3085,304
2025-06-01 01:30:00-07:00,3062,304
2025-06-01 01:35:00-07:00,3050,304
2025-06-01 01:40:00-07:00,3058,303
2025-06-01 01:45:00-07:00,3051,304
2025-06-01 01:50:00-07:00,3052,303
2025-06-01 01:55:00-07:00,3061,303
2025-06-01 02:00:00-07:00,3021,304
2025-06-01 02:05:00-07:00,2922,304
2025-06-01 02:10:00-07:00,2842,304
2025-06-01 02:15:00-07:00,2840,304
2025-06-01 02:20:00-07:00,2837,304
2025-06-01 02:25:00-07:00,2835,304
2025-06-01 02:30:00-07:00,2824,303
2025-06-01 02:35:00-07:00,2829,303
2025-06-01 02:40:00-07:00,2833,302
2025-06-01 02:45:00-07:00,2841,302
2025-06-01 02:50:00-07:00,2843,302
2025-06-01 02:55:00-07:00,2840,303
2025-06-01 03:00:00-07:00,2843,302
2025-06-01 03:05:00-07:00,2844,302
2025-06-01 03:10:00-07:00,2837,306
2025-06-01 03:15:00-07:00,2826,310
2025-06-01 03:20:00-07:00,2822,311
2025-06-01 03:25:00-07:00,2829,312
2025-06-01 03:30:00-07:00,2825,312
2025-06-01 03:35:00-07:00,2834,313
2025-06-01 03:40:00-07:00,2837,315
2025-06-01 03:45:00-07:00,2829,314
2025-06-01 03:50:00-07:00,2820,314
2025-06-01 03:55:00-07:00,2814,314
2025-06-01 04:00:00-07:00,2807,314
2025-06-01 04:05:00-07:00,2797,314
2025-06-01 04:10:00-07:00,2796,315
2025-06-01 04:15:00-07:00,2799,315
2025-06-01 04:20:00-07:00,2798,314
2025-06-01 04:25:00-07:00,2792,313
2025-06-01 04:30:00-07:00,2792,311
2025-06-01 04:35:00-07:00,2790,311
2025-06-01 04:40:00-07:00,2794,312
2025-06-01 04:45:00-07:00,2789,312
2025-06-01 04:50:00-07:00,2783,313
2025-06-01 04:55:00-07:00,2778,313
2025-06-01 05:00:00-07:00,2770,309
2025-06-01 05:05:00-07:00,2623,304
2025-06-01 05:10:00-07:00,2556,300
2025-06-01 05:15:00-07:00,2548,296
2025-06-01 05:20:00-07:00,2542,295
2025-06-01 05:25:00-07:00,2536,293
2025-06-01 05:30:00-07:00,2533,293
2025-06-01 05:35:00-07:00,2541,293
2025-06-01 05:40:00-07:00,2526,294
2025-06-01 05:45:00-07:00,2513,292
2025-06-01 05:50:00-07:00,2526,290
2025-06-01 05:55:00-07:00,2543,291
2025-06-01 06:00:00-07:00,2489,291
2025-06-01 06:05:00-07:00,2340,293
2025-06-01 06:10:00-07:00,2251,294
2025-06-01 06:15:00-07:00,2240,294
2025-06-01 06:20:00-07:00,2234,295
2025-06-01 06:25:00-07:00,2240,294
2025-06-01 06:30:00-07:00,2229,295
2025-06-01 06:35:00-07:00,2232,294
2025-06-01 06:40:00-07:00,2226,294
2025-06-01 06:45:00-07:00,2218,295
2025-06-01 06:50:00-07:00,2210,294
2025-06-01 06:55:00-07:00,2199,293
