Time,Large Hydro,Small Hydro
2021-06-01 00:00:00-07:00,1483,211
2021-06-01 00:05:00-07:00,1275,210
2021-06-01 00:10:00-07:00,1249,184
2021-06-01 00:15:00-07:00,1178,175
2021-06-01 00:20:00-07:00,984,174
2021-06-01 00:25:00-07:00,956,174
2021-06-01 00:30:00-07:00,962,173
2021-06-01 00:35:00-07:00,954,174
2021-06-01 00:40:00-07:00,940,173
2021-06-01 00:45:00-07:00,936,174
2021-06-01 00:50:00-07:00,945,174
2021-06-01 00:55:00-07:00,940,174
2021-06-01 01:00:00-07:00,941,174
2021-06-01 01:05:00-07:00,879,172
2021-06-01 01:10:00-07:00,864,174
2021-06-01 01:15:00-07:00,859,173
2021-06-01 01:20:00-07:00,859,172
2021-06-01 01:25:00-07:00,860,172
2021-06-01 01:30:00-07:00,853,173
2021-06-01 01:35:00-07:00,854,173
2021-06-01 01:40:00-07:00,852,173
2021-06-01 01:45:00-07:00,856,172
2021-06-01 01:50:00-07:00,858,172
2021-06-01 01:55:00-07:00,859,172
2021-06-01 02:00:00-07:00,858,172
2021-06-01 02:05:00-07:00,838,172
2021-06-01 02:10:00-07:00,829,172
2021-06-01 02:15:00-07:00,826,173
2021-06-01 02:20:00-07:00,826,173
2021-06-01 02:25:00-07:00,826,172
2021-06-01 02:30:00-07:00,829,172
2021-06-01 02:35:00-07:00,823,171
2021-06-01 02:40:00-07:00,823,172
2021-06-01 02:45:00-07:00,822,172
2021-06-01 02:50:00-07:00,825,171
2021-06-01 02:55:00-07:00,829,171
2021-06-01 03:00:00-07:00,830,171
2021-06-01 03:05:00-07:00,824,171
2021-06-01 03:10:00-07:00,822,171
2021-06-01 03:15:00-07:00,820,171
2021-06-01 03:20:00-07:00,822,170
2021-06-01 03:25:00-07:00,823,171
2021-06-01 03:30:00-07:00,823,171
2021-06-01 03:35:00-07:00,820,171
2021-06-01 03:40:00-07:00,821,170
2021-06-01 03:45:00-07:00,819,170
2021-06-01 03:50:00-07:00,814,169
2021-06-01 03:55:00-07:00,819,169
2021-06-01 04:00:00-07:00,850,170
2021-06-01 04:05:00-07:00,865,168
2021-06-01 04:10:00-07:00,879,166
2021-06-01 04:15:00-07:00,877,173
2021-06-01 04:20:00-07:00,875,183
2021-06-01 04:25:00-07:00,870,183
2021-06-01 04:30:00-07:00,864,183
2021-06-01 04:35:00-07:00,869,183
2021-06-01 04:40:00-07:00,872,184
2021-06-01 04:45:00-07:00,875,184
2021-06-01 04:50:00-07:00,875,184
2021-06-01 04:55:00-07:00,882,184
2021-06-01 05:00:00-07:00,886,184
2021-06-01 05:05:00-07:00,972,183
2021-06-01 05:10:00-07:00,1001,184
2021-06-01 05:15:00-07:00,992,185
2021-06-01 05:20:00-07:00,996,185
2021-06-01 05:25:00-07:00,995,185
2021-06-01 05:30:00-07:00,1006,182
2021-06-01 05:35:00-07:00,994,182
2021-06-01 05:40:00-07:00,995,183
2021-06-01 05:45:00-07:00,1000,183
2021-06-01 05:50:00-07:00,1012,184
2021-06-01 05:55:00-07:00,996,184
2021-06-01 06:00:00-07:00,1012,183
2021-06-01 06:05:00-07:00,1102,183
2021-06-01 06:10:00-07:00,1260,183
2021-06-01 06:15:00-07:00,1298,183
2021-06-01 06:20:00-07:00,1290,183
2021-06-01 06:25:00-07:00,1265,183
2021-06-01 06:30:00-07:00,1278,183
2021-06-01 06:35:00-07:00,1293,183
2021-06-01 06:40:00-07:00,1283,183
2021-06-01 06:45:00-07:00,1270,182
2021-06-01 06:50:00-07:00,1292,180
2021-06-01 06:55:00-07:00,1225,180
2021-06-01 07:00:00-07:00,1062,181
2021-06-01 07:05:00-07:00,1021,182
2021-06-01 07:10:00-07:00,1016,191
2021-06-01 07:15:00-07:00,1047,199
2021-06-01 07:20:00-07:00,1040,203
2021-06-01 07:25:00-07:00,988,203
2021-06-01 07:30:00-07:00,1020,203
2021-06-01 07:35:00-07:00,1050,204
2021-06-01 07:40:00-07:00,1048,206
2021-06-01 07:45:00-07:00,1055,206
2021-06-01 07:50:00-07:00,1056,207
2021-06-01 07:55:00-07:00,1053,208
2021-06-01 08:00:00-07:00,1025,208
2021-06-01 08:05:00-07:00,854,205
