date,temp_max_c
2024-06-01,35.2
2024-06-02,31.4
2024-06-03,30.8
2024-06-04,34.7
2024-06-05,39.8
2024-06-06,42.3
2024-06-07,40.7
2024-06-08,35.9
2024-06-09,34.6
2024-06-10,35.8
2024-06-11,39.8
2024-06-12,41.0
2024-06-13,37.7
2024-06-14,37.3
2024-06-15,33.7
2024-06-16,34.1
2024-06-17,31.1
2024-06-18,33.0
2024-06-19,34.4
2024-06-20,35.0
2024-06-21,37.2
2024-06-22,40.8
2024-06-23,42.4
2024-06-24,41.8
2024-06-25,41.5
2024-06-26,38.9
2024-06-27,37.0
2024-06-28,37.6
2024-06-29,39.7
2024-06-30,38.4
2024-07-01,39.4
2024-07-02,42.4
2024-07-03,44.5
2024-07-04,45.5
2024-07-05,44.5
2024-07-06,46.6
2024-07-07,47.7
2024-07-08,45.7
2024-07-09,44.0
2024-07-10,44.4
2024-07-11,46.5
2024-07-12,46.3
2024-07-13,44.7
2024-07-14,42.2
2024-07-15,41.1
2024-07-16,39.9
2024-07-17,39.3
2024-07-18,40.6
2024-07-19,42.0
2024-07-20,43.0
2024-07-21,41.1
2024-07-22,43.3
2024-07-23,45.9
2024-07-24,44.5
2024-07-25,43.3
2024-07-26,42.4
2024-07-27,36.1
2024-07-28,35.6
2024-07-29,37.5
2024-07-30,37.8
2024-07-31,38.9
2024-08-01,41.6
2024-08-02,36.7
2024-08-03,41.2
2024-08-04,42.6
2024-08-05,43.0
2024-08-06,44.1
2024-08-07,45.0
2024-08-08,42.3
2024-08-09,42.1
2024-08-10,41.8
2024-08-11,41.7
2024-08-12,38.9
2024-08-13,37.9
2024-08-14,37.4
2024-08-15,37.7
2024-08-16,38.3
2024-08-17,36.1
2024-08-18,34.9
2024-08-19,37.0
2024-08-20,37.7
2024-08-21,36.8
2024-08-22,34.3
2024-08-23,29.2
2024-08-24,29.9
2024-08-25,31.2
2024-08-26,36.2
2024-08-27,38.7
2024-08-28,39.6
2024-08-29,38.9
2024-08-30,39.1
2024-08-31,39.8
2024-09-01,40.2
2024-09-02,38.0
2024-09-03,39.4
2024-09-04,40.7
2024-09-05,42.2
2024-09-06,41.8
2024-09-07,41.3
2024-09-08,41.0
2024-09-09,41.0
2024-09-10,37.4
2024-09-11,33.3
2024-09-12,30.4
2024-09-13,33.8
2024-09-14,35.2
2024-09-15,31.3
2024-09-16,24.7
2024-09-17,27.6
2024-09-18,27.6
2024-09-19,29.4
2024-09-20,30.8
2024-09-21,33.7
2024-09-22,35.4
2024-09-23,37.8
2024-09-24,39.5
2024-09-25,35.3
2024-09-26,34.2
2024-09-27,35.7
2024-09-28,36.2
2024-09-29,34.4
2024-09-30,36.5
