time,hub,price
2023-06-01 00:00:00-07:00,TH_NP15_GEN-APND,28.34312
2023-06-01 00:00:00-07:00,TH_SP15_GEN-APND,29.25924
2023-06-01 00:00:00-07:00,TH_ZP26_GEN-APND,28.25092
2023-06-01 01:00:00-07:00,TH_NP15_GEN-APND,27.12248
2023-06-01 01:00:00-07:00,TH_SP15_GEN-APND,28.0769
2023-06-01 01:00:00-07:00,TH_ZP26_GEN-APND,27.12533
2023-06-01 02:00:00-07:00,TH_NP15_GEN-APND,25.21948
2023-06-01 02:00:00-07:00,TH_SP15_GEN-APND,26.0604
2023-06-01 02:00:00-07:00,TH_ZP26_GEN-APND,25.22477
2023-06-01 03:00:00-07:00,TH_NP15_GEN-APND,25.64
2023-06-01 03:00:00-07:00,TH_SP15_GEN-APND,26.38334
2023-06-01 03:00:00-07:00,TH_ZP26_GEN-APND,25.58222
2023-06-01 04:00:00-07:00,TH_NP15_GEN-APND,28.64516
2023-06-01 04:00:00-07:00,TH_SP15_GEN-APND,30.31118
2023-06-01 04:00:00-07:00,TH_ZP26_GEN-APND,29.3825
2023-06-01 05:00:00-07:00,TH_NP15_GEN-APND,34.4533
2023-06-01 05:00:00-07:00,TH_SP15_GEN-APND,36.82161
2023-06-01 05:00:00-07:00,TH_ZP26_GEN-APND,35.6111
2023-06-01 06:00:00-07:00,TH_NP15_GEN-APND,35.26044
2023-06-01 06:00:00-07:00,TH_SP15_GEN-APND,35.85572
2023-06-01 06:00:00-07:00,TH_ZP26_GEN-APND,35.24974
2023-06-01 07:00:00-07:00,TH_NP15_GEN-APND,22.03788
2023-06-01 07:00:00-07:00,TH_SP15_GEN-APND,21.45498
2023-06-01 07:00:00-07:00,TH_ZP26_GEN-APND,21.31319
2023-06-01 08:00:00-07:00,TH_NP15_GEN-APND,10.15427
2023-06-01 08:00:00-07:00,TH_SP15_GEN-APND,9.83433
2023-06-01 08:00:00-07:00,TH_ZP26_GEN-APND,6.52141
2023-06-01 09:00:00-07:00,TH_NP15_GEN-APND,8.15847
2023-06-01 09:00:00-07:00,TH_SP15_GEN-APND,7.85606
2023-06-01 09:00:00-07:00,TH_ZP26_GEN-APND,3.58392
2023-06-01 10:00:00-07:00,TH_NP15_GEN-APND,8.01118
2023-06-01 10:00:00-07:00,TH_SP15_GEN-APND,7.73
2023-06-01 10:00:00-07:00,TH_ZP26_GEN-APND,2.70761
2023-06-01 11:00:00-07:00,TH_NP15_GEN-APND,7.62798
2023-06-01 11:00:00-07:00,TH_SP15_GEN-APND,7.43444
2023-06-01 11:00:00-07:00,TH_ZP26_GEN-APND,2.40519
2023-06-01 12:00:00-07:00,TH_NP15_GEN-APND,7.63873
2023-06-01 12:00:00-07:00,TH_SP15_GEN-APND,7.3785
2023-06-01 12:00:00-07:00,TH_ZP26_GEN-APND,2.37505
2023-06-01 13:00:00-07:00,TH_NP15_GEN-APND,8.07613
2023-06-01 13:00:00-07:00,TH_SP15_GEN-APND,7.73178
2023-06-01 13:00:00-07:00,TH_ZP26_GEN-APND,1.24493
2023-06-01 14:00:00-07:00,TH_NP15_GEN-APND,8.30342
2023-06-01 14:00:00-07:00,TH_SP15_GEN-APND,7.93267
2023-06-01 14:00:00-07:00,TH_ZP26_GEN-APND,2.57679
2023-06-01 15:00:00-07:00,TH_NP15_GEN-APND,8.23498
2023-06-01 15:00:00-07:00,TH_SP15_GEN-APND,7.81605
2023-06-01 15:00:00-07:00,TH_ZP26_GEN-APND,2.81461
2023-06-01 16:00:00-07:00,TH_NP15_GEN-APND,11.89972
2023-06-01 16:00:00-07:00,TH_SP15_GEN-APND,10.74125
2023-06-01 16:00:00-07:00,TH_ZP26_GEN-APND,5.19436
2023-06-01 17:00:00-07:00,TH_NP15_GEN-APND,23.07275
2023-06-01 17:00:00-07:00,TH_SP15_GEN-APND,22.35762
2023-06-01 17:00:00-07:00,TH_ZP26_GEN-APND,18.13386
2023-06-01 18:00:00-07:00,TH_NP15_GEN-APND,37.0349
2023-06-01 18:00:00-07:00,TH_SP15_GEN-APND,36.25203
2023-06-01 18:00:00-07:00,TH_ZP26_GEN-APND,35.52378
2023-06-01 19:00:00-07:00,TH_NP15_GEN-APND,47.79532
2023-06-01 19:00:00-07:00,TH_SP15_GEN-APND,48.29953
2023-06-01 19:00:00-07:00,TH_ZP26_GEN-APND,47.22122
2023-06-01 20:00:00-07:00,TH_NP15_GEN-APND,50.65595
2023-06-01 20:00:00-07:00,TH_SP15_GEN-APND,51.19551
2023-06-01 20:00:00-07:00,TH_ZP26_GEN-APND,50.17986
2023-06-01 21:00:00-07:00,TH_NP15_GEN-APND,41.79765
2023-06-01 21:00:00-07:00,TH_SP15_GEN-APND,42.53613
2023-06-01 21:00:00-07:00,TH_ZP26_GEN-APND,41.44198
2023-06-01 22:00:00-07:00,TH_NP15_GEN-APND,34.96449
2023-06-01 22:00:00-07:00,TH_SP15_GEN-APND,35.65
2023-06-01 22:00:00-07:00,TH_ZP26_GEN-APND,34.69509
2023-06-01 23:00:00-07:00,TH_NP15_GEN-APND,30.68298
