date,temp_max_c
2019-06-01,31.6
2019-06-02,31.2
2019-06-03,32.8
2019-06-04,36.3
2019-06-05,39.1
2019-06-06,34.7
2019-06-07,29.4
2019-06-08,31.9
2019-06-09,37.8
2019-06-10,39.7
2019-06-11,39.8
2019-06-12,41.5
2019-06-13,37.2
2019-06-14,35.6
2019-06-15,35.7
2019-06-16,34.6
2019-06-17,36.5
2019-06-18,38.8
2019-06-19,40.1
2019-06-20,35.1
2019-06-21,32.9
2019-06-22,35.2
2019-06-23,37.9
2019-06-24,39.1
2019-06-25,37.2
2019-06-26,33.7
2019-06-27,31.3
2019-06-28,33.2
2019-06-29,34.9
2019-06-30,36.2
2019-07-01,36.1
2019-07-02,35.7
2019-07-03,34.3
2019-07-04,35.6
2019-07-05,38.0
2019-07-06,38.4
2019-07-07,35.5
2019-07-08,34.4
2019-07-09,34.6
2019-07-10,36.6
2019-07-11,38.5
2019-07-12,39.8
2019-07-13,41.5
2019-07-14,41.2
2019-07-15,39.7
2019-07-16,37.5
2019-07-17,36.6
2019-07-18,38.2
2019-07-19,36.6
2019-07-20,35.9
2019-07-21,38.5
2019-07-22,41.3
2019-07-23,40.8
2019-07-24,42.8
2019-07-25,42.0
2019-07-26,41.4
2019-07-27,42.3
2019-07-28,43.4
2019-07-29,41.2
2019-07-30,39.1
2019-07-31,38.3
2019-08-01,38.4
2019-08-02,37.5
2019-08-03,38.9
2019-08-04,40.7
2019-08-05,39.0
2019-08-06,41.0
2019-08-07,39.5
2019-08-08,36.3
2019-08-09,34.7
2019-08-10,33.9
2019-08-11,34.2
2019-08-12,37.0
2019-08-13,39.5
2019-08-14,41.9
2019-08-15,42.6
2019-08-16,42.1
2019-08-17,39.3
2019-08-18,35.9
2019-08-19,35.2
2019-08-20,35.9
2019-08-21,36.8
2019-08-22,37.4
2019-08-23,39.2
2019-08-24,39.3
2019-08-25,40.7
2019-08-26,40.9
2019-08-27,41.5
2019-08-28,40.2
2019-08-29,37.1
2019-08-30,37.8
2019-08-31,38.8
2019-09-01,40.7
2019-09-02,41.0
2019-09-03,39.7
2019-09-04,39.9
2019-09-05,38.8
2019-09-06,38.6
2019-09-07,34.2
2019-09-08,30.1
2019-09-09,30.6
2019-09-10,28.9
2019-09-11,31.2
2019-09-12,36.5
2019-09-13,38.2
2019-09-14,39.3
2019-09-15,37.7
2019-09-16,29.2
2019-09-17,28.7
2019-09-18,30.1
2019-09-19,27.0
2019-09-20,29.2
2019-09-21,31.7
2019-09-22,34.0
2019-09-23,32.6
2019-09-24,35.9
2019-09-25,37.4
2019-09-26,36.0
2019-09-27,30.4
2019-09-28,25.6
2019-09-29,23.0
2019-09-30,22.5
