Time,Large Hydro,Small Hydro
2018-06-01 00:00:00-07:00,2811,359
2018-06-01 00:05:00-07:00,2946,354
2018-06-01 00:10:00-07:00,3082,355
2018-06-01 00:15:00-07:00,3118,358
2018-06-01 00:20:00-07:00,3048,359
2018-06-01 00:25:00-07:00,3045,359
2018-06-01 00:30:00-07:00,3027,355
2018-06-01 00:35:00-07:00,3022,358
2018-06-01 00:40:00-07:00,3022,359
2018-06-01 00:45:00-07:00,3021,359
2018-06-01 00:50:00-07:00,2985,357
2018-06-01 00:55:00-07:00,2967,357
2018-06-01 01:00:00-07:00,2934,356
2018-06-01 01:05:00-07:00,2749,356
2018-06-01 01:10:00-07:00,2830,358
2018-06-01 01:15:00-07:00,2905,359
2018-06-01 01:20:00-07:00,2957,358
2018-06-01 01:25:00-07:00,2888,355
2018-06-01 01:30:00-07:00,2808,356
2018-06-01 01:35:00-07:00,2778,356
2018-06-01 01:40:00-07:00,2803,356
2018-06-01 01:45:00-07:00,2798,355
2018-06-01 01:50:00-07:00,2699,357
2018-06-01 01:55:00-07:00,2682,354
2018-06-01 02:00:00-07:00,2768,355
2018-06-01 02:05:00-07:00,2929,354
2018-06-01 02:10:00-07:00,2959,353
2018-06-01 02:15:00-07:00,2958,354
2018-06-01 02:20:00-07:00,2950,357
2018-06-01 02:25:00-07:00,2951,355
2018-06-01 02:30:00-07:00,2934,357
2018-06-01 02:35:00-07:00,2932,352
2018-06-01 02:40:00-07:00,2937,353
2018-06-01 02:45:00-07:00,2911,355
2018-06-01 02:50:00-07:00,2878,355
2018-06-01 02:55:00-07:00,2864,355
2018-06-01 03:00:00-07:00,2836,356
2018-06-01 03:05:00-07:00,2800,357
2018-06-01 03:10:00-07:00,2866,358
2018-06-01 03:15:00-07:00,2936,354
2018-06-01 03:20:00-07:00,2997,355
2018-06-01 03:25:00-07:00,2995,359
2018-06-01 03:30:00-07:00,2982,358
2018-06-01 03:35:00-07:00,2957,360
2018-06-01 03:40:00-07:00,2924,361
2018-06-01 03:45:00-07:00,2933,361
2018-06-01 03:50:00-07:00,2999,360
2018-06-01 03:55:00-07:00,2934,359
2018-06-01 04:00:00-07:00,2810,360
2018-06-01 04:05:00-07:00,2767,360
2018-06-01 04:10:00-07:00,2719,362
2018-06-01 04:15:00-07:00,2740,360
2018-06-01 04:20:00-07:00,2796,359
2018-06-01 04:25:00-07:00,2858,361
2018-06-01 04:30:00-07:00,3033,359
2018-06-01 04:35:00-07:00,3082,359
2018-06-01 04:40:00-07:00,3133,359
2018-06-01 04:45:00-07:00,3152,357
2018-06-01 04:50:00-07:00,3181,358
2018-06-01 04:55:00-07:00,3145,357
2018-06-01 05:00:00-07:00,3074,358
2018-06-01 05:05:00-07:00,3200,355
2018-06-01 05:10:00-07:00,3320,474
2018-06-01 05:15:00-07:00,3382,493
2018-06-01 05:20:00-07:00,3519,506
2018-06-01 05:25:00-07:00,3555,505
2018-06-01 05:30:00-07:00,3549,506
2018-06-01 05:35:00-07:00,3539,506
2018-06-01 05:40:00-07:00,3518,505
2018-06-01 05:45:00-07:00,3435,505
2018-06-01 05:50:00-07:00,3391,505
2018-06-01 05:55:00-07:00,3360,503
2018-06-01 06:00:00-07:00,3284,504
2018-06-01 06:05:00-07:00,3240,505
2018-06-01 06:10:00-07:00,3364,521
2018-06-01 06:15:00-07:00,3516,536
2018-06-01 06:20:00-07:00,3522,535
2018-06-01 06:25:00-07:00,3490,537
2018-06-01 06:30:00-07:00,3493,537
2018-06-01 06:35:00-07:00,3500,538
2018-06-01 06:40:00-07:00,3472,535
2018-06-01 06:45:00-07:00,3373,537
2018-06-01 06:50:00-07:00,3338,538
2018-06-01 06:55:00-07:00,3384,537
