date,temp_max_c
2025-06-01,39.8
2025-06-02,35.6
2025-06-03,34.8
2025-06-04,36.2
2025-06-05,35.7
2025-06-06,36.3
2025-06-07,37.3
2025-06-08,37.1
2025-06-09,38.8
2025-06-10,39.0
2025-06-11,36.1
2025-06-12,35.2
2025-06-13,35.6
2025-06-14,36.5
2025-06-15,38.0
2025-06-16,36.3
2025-06-17,35.4
2025-06-18,38.4
2025-06-19,39.1
2025-06-20,31.6
2025-06-21,28.3
2025-06-22,30.9
2025-06-23,33.6
2025-06-24,35.4
2025-06-25,36.7
2025-06-26,38.0
2025-06-27,39.1
2025-06-28,40.4
2025-06-29,40.0
2025-06-30,40.2
2025-07-01,39.2
2025-07-02,39.5
2025-07-03,40.2
2025-07-04,35.7
2025-07-05,35.5
2025-07-06,37.2
2025-07-07,38.9
2025-07-08,38.0
2025-07-09,37.6
2025-07-10,39.2
2025-07-11,41.8
2025-07-12,42.6
2025-07-13,41.1
2025-07-14,42.6
2025-07-15,40.7
2025-07-16,37.8
2025-07-17,38.0
2025-07-18,38.7
2025-07-19,39.0
2025-07-20,39.3
2025-07-21,35.9
2025-07-22,33.8
2025-07-23,33.7
2025-07-24,34.2
2025-07-25,33.7
2025-07-26,34.0
2025-07-27,35.3
2025-07-28,37.2
2025-07-29,37.9
2025-07-30,37.6
2025-07-31,37.9
2025-08-01,38.9
2025-08-02,38.2
2025-08-03,38.3
2025-08-04,34.9
2025-08-05,36.4
2025-08-06,38.9
2025-08-07,40.1
2025-08-08,40.9
2025-08-09,41.9
2025-08-10,42.6
2025-08-11,41.6
2025-08-12,40.7
2025-08-13,39.3
2025-08-14,36.9
2025-08-15,37.5
2025-08-16,35.5
2025-08-17,34.9
2025-08-18,34.8
2025-08-19,36.5
2025-08-20,37.6
2025-08-21,40.0
2025-08-22,42.3
2025-08-23,42.5
2025-08-24,41.8
2025-08-25,40.7
2025-08-26,39.3
2025-08-27,38.0
2025-08-28,38.1
2025-08-29,37.5
2025-08-30,39.9
2025-08-31,40.7
2025-09-01,41.9
2025-09-02,41.3
2025-09-03,38.9
2025-09-04,38.9
2025-09-05,36.5
2025-09-06,35.7
2025-09-07,34.4
2025-09-08,34.1
2025-09-09,31.1
2025-09-10,29.6
2025-09-11,29.7
2025-09-12,31.6
2025-09-13,33.6
2025-09-14,33.8
2025-09-15,35.2
2025-09-16,37.9
2025-09-17,38.2
2025-09-18,30.0
2025-09-19,30.1
2025-09-20,33.4
2025-09-21,34.1
2025-09-22,35.1
2025-09-23,37.3
2025-09-24,31.0
2025-09-25,31.6
2025-09-26,32.0
2025-09-27,33.8
2025-09-28,30.6
2025-09-29,29.3
2025-09-30,29.6
