date,temp_max_c
2018-06-01,29.6
2018-06-02,36.9
2018-06-03,40.1
2018-06-04,38.2
2018-06-05,34.0
2018-06-06,31.8
2018-06-07,31.7
2018-06-08,34.3
2018-06-09,30.2
2018-06-10,30.0
2018-06-11,32.8
2018-06-12,37.7
2018-06-13,39.6
2018-06-14,38.4
2018-06-15,37.1
2018-06-16,32.7
2018-06-17,27.6
2018-06-18,31.9
2018-06-19,35.5
2018-06-20,38.1
2018-06-21,37.8
2018-06-22,39.7
2018-06-23,40.1
2018-06-24,39.0
2018-06-25,36.0
2018-06-26,38.7
2018-06-27,38.0
2018-06-28,34.6
2018-06-29,35.5
2018-06-30,38.8
2018-07-01,39.7
2018-07-02,38.2
2018-07-03,37.9
2018-07-04,35.5
2018-07-05,36.6
2018-07-06,39.8
2018-07-07,40.7
2018-07-08,40.4
2018-07-09,39.1
2018-07-10,39.3
2018-07-11,39.8
2018-07-12,38.7
2018-07-13,39.6
2018-07-14,40.1
2018-07-15,40.4
2018-07-16,40.7
2018-07-17,41.6
2018-07-18,41.7
2018-07-19,41.5
2018-07-20,40.3
2018-07-21,37.8
2018-07-22,38.6
2018-07-23,39.4
2018-07-24,40.5
2018-07-25,40.8
2018-07-26,40.6
2018-07-27,40.2
2018-07-28,39.7
2018-07-29,39.7
2018-07-30,39.3
2018-07-31,40.1
2018-08-01,39.3
2018-08-02,38.0
2018-08-03,38.7
2018-08-04,38.4
2018-08-05,36.4
2018-08-06,36.5
2018-08-07,37.3
2018-08-08,38.6
2018-08-09,39.4
2018-08-10,39.8
2018-08-11,38.1
2018-08-12,39.3
2018-08-13,37.3
2018-08-14,36.6
2018-08-15,35.7
2018-08-16,37.3
2018-08-17,39.0
2018-08-18,40.1
2018-08-19,38.9
2018-08-20,38.9
2018-08-21,34.5
2018-08-22,33.9
2018-08-23,33.9
2018-08-24,33.2
2018-08-25,34.1
2018-08-26,34.4
2018-08-27,31.9
2018-08-28,31.1
2018-08-29,31.2
2018-08-30,30.6
2018-08-31,31.5
2018-09-01,32.7
2018-09-02,35.6
2018-09-03,35.8
2018-09-04,36.3
2018-09-05,37.2
2018-09-06,36.0
2018-09-07,37.2
2018-09-08,36.5
2018-09-09,35.7
2018-09-10,34.8
2018-09-11,35.0
2018-09-12,31.5
2018-09-13,28.8
2018-09-14,30.9
2018-09-15,29.7
2018-09-16,29.8
2018-09-17,30.8
2018-09-18,30.6
2018-09-19,30.9
2018-09-20,32.3
2018-09-21,34.9
2018-09-22,35.3
2018-09-23,34.9
2018-09-24,33.1
2018-09-25,34.3
2018-09-26,35.9
2018-09-27,36.0
2018-09-28,33.6
2018-09-29,26.7
2018-09-30,26.6
