station_id,date,value
AGP,1987-04-01,17.9
AGP,1988-02-01,17.8
AGP,1988-03-01,19.0
AGP,1988-04-01,13.8
AGP,1989-02-01,13.2
AGP,1989-03-01,16.1
AGP,1989-04-01,22.2
ANR,1980-01-01,2.8
ANR,1980-02-01,2.7
ANR,1980-03-01,3.8
ANR,1980-04-01,3.9
ANR,1980-05-01,0.0
ANR,1981-01-01,0.5
ANR,1981-02-01,1.0
ANR,1981-03-01,2.0
ANR,1981-04-01,0.0
ANR,1981-05-01,0.0
ANR,1982-01-01,0.0
ANR,1982-02-01,3.7
ANR,1982-03-01,0.7
ANR,1982-04-01,0.3
ANR,1983-01-01,6.0
ANR,1983-02-01,9.5
ANR,1983-03-01,11.9
ANR,1983-04-01,12.5
ANR,1983-05-01,5.1
ANR,1983-06-01,0.0
ANR,1984-01-01,4.0
ANR,1984-02-01,4.1
ANR,1984-03-01,6.6
ANR,1984-04-01,0.6
ANR,1984-05-01,0.0
ANR,1985-01-01,2.7
ANR,1985-02-01,3.6
ANR,1985-03-01,5.6
ANR,1985-04-01,7.6
ANR,1985-05-01,0.0
ANR,1986-01-01,4.0
ANR,1986-02-01,4.0
ANR,1986-03-01,7.6
ANR,1986-04-01,0.0
ANR,1986-05-01,0.0
ANR,1987-01-01,0.3
ANR,1987-02-01,1.6
ANR,1987-03-01,3.1
ANR,1987-04-01,0.8
ANR,1987-05-01,0.0
ANR,1988-01-01,1.4
ANR,1988-02-01,3.9
ANR,1988-03-01,3.3
ANR,1988-04-01,0.0
ANR,1988-05-01,0.0
ANR,1989-01-01,3.0
ANR,1989-02-01,4.5
ANR,1989-03-01,5.9
ANR,1989-04-01,0.0
ANR,1989-05-01,0.0
APH,1980-01-01,15.6
APH,1980-02-01,26.5
APH,1980-03-01,40.4
APH,1980-04-01,43.0
APH,1980-05-01,30.0
APH,1981-01-01,2.5
APH,1981-02-01,12.2
APH,1981-03-01,12.9
APH,1981-04-01,21.1
APH,1981-05-01,4.1
APH,1982-02-01,24.8
APH,1982-03-01,21.7
APH,1982-04-01,45.4
APH,1982-05-01,36.2
APH,1983-01-01,26.3
APH,1983-02-01,41.9
APH,1983-03-01,64.4
APH,1983-04-01,80.7
APH,1983-05-01,84.1
APH,1983-06-01,60.3
APH,1984-01-01,26.7
APH,1984-02-01,24.3
APH,1984-03-01,31.6
APH,1984-04-01,33.4
APH,1984-05-01,25.3
APH,1985-01-01,15.8
APH,1985-02-01,17.7
APH,1985-03-01,21.8
APH,1985-04-01,28.8
APH,1985-05-01,10.7
APH,1986-01-01,16.7
APH,1986-02-01,18.3
APH,1986-03-01,39.9
APH,1986-04-01,40.7
APH,1986-05-01,21.5
APH,1987-01-01,0.9
APH,1987-02-01,10.2
APH,1987-03-01,16.2
APH,1987-04-01,21.1
APH,1987-05-01,0.2
APH,1988-01-01,9.3
APH,1988-02-01,16.6
APH,1988-03-01,13.3
APH,1988-04-01,4.7
APH,1988-05-01,0.15
APH,1989-01-01,17.6
APH,1989-02-01,18.8
APH,1989-03-01,21.1
APH,1989-04-01,33.3
APH,1989-05-01,18.0
ASH,1980-04-01,17.8
ASH,1981-04-01,7.6
ASH,1982-04-01,22.0
ASH,1983-04-01,52.0
ASH,1984-04-01,17.6
ASH,1985-04-01,12.1
ASH,1986-04-01,8.0
ASH,1987-04-01,9.6
ASH,1988-04-01,0.4
ASH,1989-04-01,12.4
ATP,1980-02-01,9.6
ATP,1980-03-01,19.7
ATP,1980-05-01,12.9
ATP,1981-02-01,0.0
ATP,1981-03-01,0.0
ATP,1981-04-01,14.0
ATP,1981-05-01,0.0
ATP,1982-02-01,15.5
ATP,1982-03-01,11.2
ATP,1982-04-01,7.4
ATP,1982-05-01,32.2
ATP,1983-02-01,27.4
ATP,1983-03-01,56.2
ATP,1983-04-01,72.0
ATP,1983-05-01,68.0
ATP,1984-02-01,10.6
ATP,1984-03-01,13.4
ATP,1984-04-01,16.5
ATP,1985-02-01,14.2
ATP,1985-03-01,23.1
ATP,1985-04-01,30.7
ATP,1985-05-01,24.3
ATP,1986-02-01,18.9
ATP,1986-03-01,28.1
ATP,1986-04-01,25.2
ATP,1986-05-01,0.0
ATP,1987-02-01,7.8
ATP,1987-03-01,19.4
ATP,1987-04-01,25.3
ATP,1987-05-01,5.7
ATP,1988-02-01,20.9
ATP,1988-03-01,17.4
ATP,1988-04-01,9.5
ATP,1989-02-01,20.7
ATP,1989-03-01,26.0
ATP,1989-04-01,30.4
ATP,1989-05-01,17.0
ATS,1980-02-01,0.0
ATS,1980-03-01,0.0
ATS,1980-04-01,0.0
ATS,1980-05-01,0.0
ATS,1981-02-01,0.0
ATS,1981-03-01,0.9
ATS,1981-04-01,0.0
ATS,1981-05-01,0.0
ATS,1982-02-01,11.7
ATS,1982-03-01,5.7
ATS,1982-04-01,12.3
ATS,1982-05-01,0.0
ATS,1983-02-01,0.0
ATS,1983-03-01,0.0
ATS,1983-04-01,3.2
ATS,1983-05-01,0.0
ATS,1984-02-01,0.0
ATS,1984-03-01,0.0
ATS,1984-04-01,0.0
ATS,1984-05-01,0.0
ATS,1985-02-01,1.4
ATS,1985-03-01,2.9
ATS,1985-04-01,8.0
ATS,1985-05-01,0.0
ATS,1986-02-01,0.0
ATS,1986-03-01,0.0
ATS,1986-04-01,0.0
ATS,1986-05-01,0.0
ATS,1987-02-01,1.4
ATS,1987-03-01,0.3
ATS,1987-04-01,0.6
ATS,1987-05-01,0.0
ATS,1988-02-01,2.7
ATS,1988-03-01,1.0
ATS,1988-04-01,0.0
ATS,1988-05-01,0.0
ATS,1989-02-01,6.1
ATS,1989-03-01,8.4
ATS,1989-04-01,0.25
ATS,1989-05-01,0.6
BBS,1980-02-01,21.8
BBS,1980-03-01,31.6
BBS,1980-04-01,33.9
BBS,1980-05-01,34.6
BBS,1981-02-01,17.3
BBS,1981-03-01,22.3
BBS,1981-04-01,30.0
BBS,1981-05-01,21.8
BBS,1982-02-01,19.4
BBS,1982-03-01,18.3
BBS,1982-05-01,36.3
BBS,1983-02-01,48.2
BBS,1983-04-01,83.0
BBS,1983-05-01,105.0
BBS,1983-06-01,76.8
BBS,1984-02-01,30.4
BBS,1984-03-01,38.2
BBS,1984-04-01,39.0
BBS,1984-05-01,22.9
BBS,1985-03-01,29.4
BBS,1985-04-01,36.5
BBS,1985-05-01,23.1
BBS,1986-02-01,29.7
BBS,1986-03-01,37.5
BBS,1986-04-01,46.1
BBS,1986-05-01,38.0
BBS,1987-02-01,18.3
BBS,1987-03-01,24.6
BBS,1987-04-01,30.5
BBS,1987-05-01,24.7
BBS,1988-02-01,25.3
BBS,1988-03-01,25.7
BBS,1988-04-01,19.5
BBS,1988-05-01,12.9
BBS,1989-02-01,14.6
BBS,1989-03-01,17.1
BBS,1989-04-01,27.8
BBS,1989-05-01,18.6
BCB,1980-01-01,12.5
BCB,1980-02-01,28.9
BCB,1980-03-01,51.0
BCB,1980-04-01,57.4
BCB,1980-05-01,55.2
BCB,1980-06-01,48.9
BCB,1981-01-01,5.0
BCB,1981-02-01,15.1
BCB,1981-03-01,17.8
BCB,1981-04-01,27.7
BCB,1981-05-01,26.9
BCB,1981-06-01,15.9
BCB,1982-01-01,26.0
BCB,1982-02-01,30.1
BCB,1982-03-01,35.2
BCB,1982-04-01,53.8
BCB,1982-05-01,60.2
BCB,1982-06-01,42.6
BCB,1983-01-01,26.7
BCB,1983-02-01,39.4
BCB,1983-03-01,56.6
BCB,1983-04-01,66.8
BCB,1983-05-01,73.3
BCB,1984-01-01,25.4
BCB,1984-02-01,25.5
BCB,1984-03-01,32.0
BCB,1984-04-01,30.9
BCB,1984-05-01,31.6
BCB,1984-06-01,9.3
BCB,1985-01-01,16.8
BCB,1985-02-01,18.0
BCB,1985-03-01,22.0
BCB,1985-04-01,28.7
BCB,1985-05-01,24.4
BCB,1985-06-01,1.4
BCB,1986-01-01,19.3
BCB,1986-02-01,20.4
BCB,1986-03-01,52.4
BCB,1986-04-01,56.7
BCB,1986-05-01,58.8
BCB,1986-06-01,39.3
BCB,1987-01-01,1.1
BCB,1987-02-01,5.2
BCB,1987-03-01,13.0
BCB,1987-04-01,19.7
BCB,1987-05-01,14.6
BCB,1988-01-01,15.8
BCB,1988-02-01,20.5
BCB,1988-03-01,19.1
BCB,1988-04-01,15.1
BCB,1988-05-01,15.1
BCB,1988-06-01,1.8
BCB,1989-01-01,9.6
BCB,1989-02-01,12.4
BCB,1989-03-01,15.4
BCB,1989-04-01,23.0
BCB,1989-05-01,15.0
BCB,1989-06-01,0.0
BCP,1980-01-01,11.2
BCP,1980-02-01,10.5
BCP,1980-03-01,18.0
BCP,1980-04-01,23.9
BCP,1980-05-01,8.4
BCP,1981-01-01,0.0
BCP,1981-02-01,11.2
BCP,1981-03-01,8.4
BCP,1981-04-01,13.0
BCP,1981-05-01,0.0
BCP,1982-01-01,9.4
BCP,1982-02-01,13.5
BCP,1982-03-01,12.9
BCP,1982-04-01,38.2
BCP,1982-05-01,33.2
BCP,1983-01-01,11.6
BCP,1983-02-01,17.3
BCP,1983-03-01,44.0
BCP,1983-04-01,51.6
BCP,1983-05-01,54.5
BCP,1983-06-01,30.6
BCP,1984-01-01,14.5
BCP,1984-02-01,12.0
BCP,1984-03-01,16.8
BCP,1984-04-01,11.5
BCP,1984-05-01,5.6
BCP,1985-01-01,15.0
BCP,1985-02-01,15.8
BCP,1985-03-01,20.2
BCP,1985-04-01,27.1
BCP,1985-05-01,0.0
BCP,1986-01-01,10.2
BCP,1986-02-01,15.2
BCP,1986-03-01,16.4
BCP,1986-04-01,13.2
BCP,1986-05-01,0.0
BCP,1987-02-01,10.5
BCP,1987-03-01,11.2
BCP,1987-04-01,11.2
BCP,1987-05-01,0.0
BCP,1988-01-01,12.1
BCP,1988-02-01,16.7
BCP,1988-03-01,14.5
BCP,1988-04-01,0.0
BCP,1988-05-01,0.0
BCP,1989-01-01,10.3
BCP,1989-02-01,13.0
BCP,1989-03-01,12.9
BCP,1989-04-01,16.3
BCP,1989-05-01,0.7
BDF,1980-02-01,22.0
BDF,1980-03-01,37.6
BDF,1980-04-01,44.6
BDF,1980-05-01,35.0
BDF,1981-02-01,14.4
BDF,1981-03-01,16.6
BDF,1981-04-01,24.0
BDF,1982-02-01,27.4
BDF,1982-04-01,48.6
BDF,1983-03-01,55.5
BDF,1983-04-01,65.4
BDF,1984-02-01,21.6
BDF,1984-03-01,26.6
BDF,1984-04-01,25.5
BDF,1984-05-01,17.7
BDF,1985-02-01,16.9
BDF,1985-03-01,17.3
BDF,1985-04-01,26.6
BDF,1986-02-01,15.5
BDF,1986-03-01,42.0
BDF,1986-04-01,45.8
BDF,1986-05-01,32.2
