date,temp_max_c
2016-06-01,40.0
2016-06-02,39.7
2016-06-03,40.1
2016-06-04,41.5
2016-06-05,39.6
2016-06-06,39.0
2016-06-07,38.5
2016-06-08,36.3
2016-06-09,34.3
2016-06-10,32.2
2016-06-11,31.3
2016-06-12,31.5
2016-06-13,34.4
2016-06-14,30.6
2016-06-15,26.8
2016-06-16,29.1
2016-06-17,32.1
2016-06-18,33.0
2016-06-19,37.6
2016-06-20,39.6
2016-06-21,40.8
2016-06-22,39.7
2016-06-23,38.0
2016-06-24,35.8
2016-06-25,38.4
2016-06-26,40.8
2016-06-27,41.8
2016-06-28,41.6
2016-06-29,41.1
2016-06-30,39.3
2016-07-01,40.4
2016-07-02,39.3
2016-07-03,39.2
2016-07-04,38.3
2016-07-05,37.4
2016-07-06,36.1
2016-07-07,35.1
2016-07-08,35.3
2016-07-09,35.6
2016-07-10,32.8
2016-07-11,35.0
2016-07-12,36.2
2016-07-13,38.4
2016-07-14,40.8
2016-07-15,40.4
2016-07-16,39.2
2016-07-17,38.2
2016-07-18,35.5
2016-07-19,36.0
2016-07-20,37.6
2016-07-21,38.6
2016-07-22,38.9
2016-07-23,40.0
2016-07-24,41.4
2016-07-25,41.2
2016-07-26,42.3
2016-07-27,43.6
2016-07-28,42.5
2016-07-29,43.5
2016-07-30,43.1
2016-07-31,40.7
2016-08-01,39.6
2016-08-02,39.1
2016-08-03,39.9
2016-08-04,37.7
2016-08-05,35.3
2016-08-06,36.3
2016-08-07,36.1
2016-08-08,37.0
2016-08-09,36.3
2016-08-10,36.9
2016-08-11,37.8
2016-08-12,39.4
2016-08-13,40.7
2016-08-14,41.7
2016-08-15,39.2
2016-08-16,39.2
2016-08-17,39.9
2016-08-18,40.1
2016-08-19,39.0
2016-08-20,38.3
2016-08-21,37.5
2016-08-22,36.7
2016-08-23,36.9
2016-08-24,36.9
2016-08-25,36.3
2016-08-26,34.9
2016-08-27,33.7
2016-08-28,35.6
2016-08-29,36.6
2016-08-30,36.5
2016-08-31,35.5
2016-09-01,34.9
2016-09-02,35.2
2016-09-03,33.4
2016-09-04,29.1
2016-09-05,30.9
2016-09-06,34.9
2016-09-07,36.7
2016-09-08,36.3
2016-09-09,36.2
2016-09-10,37.0
2016-09-11,35.5
2016-09-12,32.6
2016-09-13,25.4
2016-09-14,28.8
2016-09-15,31.9
2016-09-16,33.8
2016-09-17,36.5
2016-09-18,38.4
2016-09-19,40.8
2016-09-20,36.5
2016-09-21,32.9
2016-09-22,24.4
2016-09-23,27.4
2016-09-24,30.7
2016-09-25,36.5
2016-09-26,38.0
2016-09-27,38.0
2016-09-28,37.8
2016-09-29,35.6
2016-09-30,32.8
