Time,Large Hydro,Small Hydro
2024-06-01 00:00:00-07:00,4477,345
2024-06-01 00:05:00-07:00,4382,345
2024-06-01 00:10:00-07:00,4384,345
2024-06-01 00:15:00-07:00,4370,345
2024-06-01 00:20:00-07:00,4270,345
2024-06-01 00:25:00-07:00,4274,343
2024-06-01 00:30:00-07:00,4261,343
2024-06-01 00:35:00-07:00,4178,342
2024-06-01 00:40:00-07:00,4164,342
2024-06-01 00:45:00-07:00,4142,343
2024-06-01 00:50:00-07:00,4126,343
2024-06-01 00:55:00-07:00,4099,342
2024-06-01 01:00:00-07:00,4075,342
2024-06-01 01:05:00-07:00,4105,344
2024-06-01 01:10:00-07:00,4122,346
2024-06-01 01:15:00-07:00,3934,346
2024-06-01 01:20:00-07:00,3834,346
2024-06-01 01:25:00-07:00,3822,344
2024-06-01 01:30:00-07:00,3794,344
2024-06-01 01:35:00-07:00,3797,343
2024-06-01 01:40:00-07:00,3797,343
2024-06-01 01:45:00-07:00,3790,343
2024-06-01 01:50:00-07:00,3775,343
2024-06-01 01:55:00-07:00,3773,343
2024-06-01 02:00:00-07:00,3723,343
2024-06-01 02:05:00-07:00,3699,344
2024-06-01 02:10:00-07:00,3673,344
2024-06-01 02:15:00-07:00,3662,344
2024-06-01 02:20:00-07:00,3643,344
2024-06-01 02:25:00-07:00,3630,344
2024-06-01 02:30:00-07:00,3581,345
2024-06-01 02:35:00-07:00,3570,345
2024-06-01 02:40:00-07:00,3572,346
2024-06-01 02:45:00-07:00,3573,347
2024-06-01 02:50:00-07:00,3573,347
2024-06-01 02:55:00-07:00,3577,347
2024-06-01 03:00:00-07:00,3585,346
2024-06-01 03:05:00-07:00,3603,346
2024-06-01 03:10:00-07:00,3614,344
2024-06-01 03:15:00-07:00,3624,341
2024-06-01 03:20:00-07:00,3635,341
2024-06-01 03:25:00-07:00,3656,341
2024-06-01 03:30:00-07:00,3672,342
2024-06-01 03:35:00-07:00,3662,342
2024-06-01 03:40:00-07:00,3677,345
2024-06-01 03:45:00-07:00,3701,344
2024-06-01 03:50:00-07:00,3703,344
2024-06-01 03:55:00-07:00,3784,345
2024-06-01 04:00:00-07:00,3892,346
2024-06-01 04:05:00-07:00,3916,345
2024-06-01 04:10:00-07:00,3938,339
2024-06-01 04:15:00-07:00,3945,339
2024-06-01 04:20:00-07:00,3942,340
2024-06-01 04:25:00-07:00,3938,339
2024-06-01 04:30:00-07:00,3938,339
2024-06-01 04:35:00-07:00,3960,339
2024-06-01 04:40:00-07:00,3977,339
2024-06-01 04:45:00-07:00,3961,339
2024-06-01 04:50:00-07:00,3979,339
2024-06-01 04:55:00-07:00,3838,339
2024-06-01 05:00:00-07:00,3439,339
2024-06-01 05:05:00-07:00,3355,339
2024-06-01 05:10:00-07:00,3367,335
2024-06-01 05:15:00-07:00,3401,335
2024-06-01 05:20:00-07:00,3396,336
2024-06-01 05:25:00-07:00,3366,335
2024-06-01 05:30:00-07:00,3368,334
2024-06-01 05:35:00-07:00,3381,334
2024-06-01 05:40:00-07:00,3369,334
2024-06-01 05:45:00-07:00,3377,334
2024-06-01 05:50:00-07:00,3386,333
2024-06-01 05:55:00-07:00,3370,333
2024-06-01 06:00:00-07:00,3329,333
2024-06-01 06:05:00-07:00,3210,336
2024-06-01 06:10:00-07:00,3187,337
2024-06-01 06:15:00-07:00,3158,336
2024-06-01 06:20:00-07:00,3143,336
2024-06-01 06:25:00-07:00,3102,334
2024-06-01 06:30:00-07:00,3065,333
2024-06-01 06:35:00-07:00,3038,333
2024-06-01 06:40:00-07:00,2952,333
2024-06-01 06:45:00-07:00,2783,334
2024-06-01 06:50:00-07:00,2575,334
2024-06-01 06:55:00-07:00,2395,333
2024-06-01 07:00:00-07:00,2022,331
2024-06-01 07:05:00-07:00,1807,329
2024-06-01 07:10:00-07:00,1813,330
2024-06-01 07:15:00-07:00,1797,330
2024-06-01 07:20:00-07:00,1771,329
2024-06-01 07:25:00-07:00,1705,328
2024-06-01 07:30:00-07:00,1675,328
2024-06-01 07:35:00-07:00,1633,326
2024-06-01 07:40:00-07:00,1613,326
2024-06-01 07:45:00-07:00,1606,329
2024-06-01 07:50:00-07:00,1602,328
2024-06-01 07:55:00-07:00,1605,329
2024-06-01 08:00:00-07:00,1586,326
2024-06-01 08:05:00-07:00,1556,323
2024-06-01 08:10:00-07:00,1453,323
2024-06-01 08:15:00-07:00,1343,323
2024-06-01 08:20:00-07:00,1247,322
2024-06-01 08:25:00-07:00,1209,321
2024-06-01 08:30:00-07:00,1202,323
2024-06-01 08:35:00-07:00,1215,323
2024-06-01 08:40:00-07:00,1223,323
2024-06-01 08:45:00-07:00,1211,324
2024-06-01 08:50:00-07:00,1205,323
2024-06-01 08:55:00-07:00,1207,323
2024-06-01 09:00:00-07:00,1165,323
2024-06-01 09:05:00-07:00,1021,323
2024-06-01 09:10:00-07:00,1014,323
2024-06-01 09:15:00-07:00,991,324
2024-06-01 09:20:00-07:00,972,324
2024-06-01 09:25:00-07:00,985,324
2024-06-01 09:30:00-07:00,989,324
2024-06-01 09:35:00-07:00,967,324
2024-06-01 09:40:00-07:00,955,323
2024-06-01 09:45:00-07:00,966,322
2024-06-01 09:50:00-07:00,953,322
2024-06-01 09:55:00-07:00,987,322
2024-06-01 10:00:00-07:00,998,322
2024-06-01 10:05:00-07:00,979,321
2024-06-01 10:10:00-07:00,975,322
2024-06-01 10:15:00-07:00,978,322
2024-06-01 10:20:00-07:00,1039,321
2024-06-01 10:25:00-07:00,1093,321
2024-06-01 10:30:00-07:00,1085,322
2024-06-01 10:35:00-07:00,1066,321
2024-06-01 10:40:00-07:00,1044,321
2024-06-01 10:45:00-07:00,1025,322
2024-06-01 10:50:00-07:00,1022,321
2024-06-01 10:55:00-07:00,1015,321
2024-06-01 11:00:00-07:00,1007,322
2024-06-01 11:05:00-07:00,983,322
2024-06-01 11:10:00-07:00,985,322
2024-06-01 11:15:00-07:00,1006,322
2024-06-01 11:20:00-07:00,1011,322
2024-06-01 11:25:00-07:00,1001,322
2024-06-01 11:30:00-07:00,979,322
2024-06-01 11:35:00-07:00,975,323
2024-06-01 11:40:00-07:00,968,322
2024-06-01 11:45:00-07:00,964,321
2024-06-01 11:50:00-07:00,968,322
2024-06-01 11:55:00-07:00,949,322
2024-06-01 12:00:00-07:00,928,320
2024-06-01 12:05:00-07:00,909,321
2024-06-01 12:10:00-07:00,912,321
2024-06-01 12:15:00-07:00,905,323
2024-06-01 12:20:00-07:00,904,323
2024-06-01 12:25:00-07:00,908,323
2024-06-01 12:30:00-07:00,930,323
2024-06-01 12:35:00-07:00,928,323
2024-06-01 12:40:00-07:00,914,321
2024-06-01 12:45:00-07:00,916,322
2024-06-01 12:50:00-07:00,914,321
2024-06-01 12:55:00-07:00,913,322
2024-06-01 13:00:00-07:00,932,322
2024-06-01 13:05:00-07:00,927,323
2024-06-01 13:10:00-07:00,918,322
2024-06-01 13:15:00-07:00,908,323
2024-06-01 13:20:00-07:00,926,323
2024-06-01 13:25:00-07:00,922,324
2024-06-01 13:30:00-07:00,908,324
2024-06-01 13:35:00-07:00,906,323
2024-06-01 13:40:00-07:00,909,323
2024-06-01 13:45:00-07:00,899,322
2024-06-01 13:50:00-07:00,902,321
2024-06-01 13:55:00-07:00,906,320
2024-06-01 14:00:00-07:00,912,320
2024-06-01 14:05:00-07:00,935,322
2024-06-01 14:10:00-07:00,922,324
2024-06-01 14:15:00-07:00,933,323
2024-06-01 14:20:00-07:00,925,323
2024-06-01 14:25:00-07:00,921,323
2024-06-01 14:30:00-07:00,901,323
2024-06-01 14:35:00-07:00,910,321
2024-06-01 14:40:00-07:00,931,321
2024-06-01 14:45:00-07:00,947,323
2024-06-01 14:50:00-07:00,937,323
2024-06-01 14:55:00-07:00,942,323
2024-06-01 15:00:00-07:00,968,322
2024-06-01 15:05:00-07:00,948,323
2024-06-01 15:10:00-07:00,942,322
2024-06-01 15:15:00-07:00,950,322
2024-06-01 15:20:00-07:00,972,322
2024-06-01 15:25:00-07:00,982,322
2024-06-01 15:30:00-07:00,950,322
2024-06-01 15:35:00-07:00,998,321
2024-06-01 15:40:00-07:00,1099,321
2024-06-01 15:45:00-07:00,1038,319
2024-06-01 15:50:00-07:00,952,319
2024-06-01 15:55:00-07:00,929,319
2024-06-01 16:00:00-07:00,943,320
2024-06-01 16:05:00-07:00,991,321
2024-06-01 16:10:00-07:00,1024,319
2024-06-01 16:15:00-07:00,1067,321
2024-06-01 16:20:00-07:00,1078,322
2024-06-01 16:25:00-07:00,1082,321
2024-06-01 16:30:00-07:00,1100,321
2024-06-01 16:35:00-07:00,1170,321
2024-06-01 16:40:00-07:00,1260,321
2024-06-01 16:45:00-07:00,1280,321
2024-06-01 16:50:00-07:00,1287,321
2024-06-01 16:55:00-07:00,1295,320
2024-06-01 17:00:00-07:00,1387,322
2024-06-01 17:05:00-07:00,1684,327
2024-06-01 17:10:00-07:00,1726,331
2024-06-01 17:15:00-07:00,1669,331
2024-06-01 17:20:00-07:00,1743,330
2024-06-01 17:25:00-07:00,1797,330
2024-06-01 17:30:00-07:00,1820,329
2024-06-01 17:35:00-07:00,2121,329
2024-06-01 17:40:00-07:00,2297,329
2024-06-01 17:45:00-07:00,2311,330
2024-06-01 17:50:00-07:00,2323,330
2024-06-01 17:55:00-07:00,2391,331
2024-06-01 18:00:00-07:00,2667,331
2024-06-01 18:05:00-07:00,3046,339
2024-06-01 18:10:00-07:00,3070,342
2024-06-01 18:15:00-07:00,3158,342
2024-06-01 18:20:00-07:00,3302,342
2024-06-01 18:25:00-07:00,3384,342
2024-06-01 18:30:00-07:00,3405,342
2024-06-01 18:35:00-07:00,3554,341
2024-06-01 18:40:00-07:00,3675,341
2024-06-01 18:45:00-07:00,3720,341
2024-06-01 18:50:00-07:00,3854,340
2024-06-01 18:55:00-07:00,3984,338
2024-06-01 19:00:00-07:00,4080,337
2024-06-01 19:05:00-07:00,4242,337
2024-06-01 19:10:00-07:00,4279,339
2024-06-01 19:15:00-07:00,4278,338
2024-06-01 19:20:00-07:00,4317,337
2024-06-01 19:25:00-07:00,4378,339
2024-06-01 19:30:00-07:00,4417,339
2024-06-01 19:35:00-07:00,4465,340
2024-06-01 19:40:00-07:00,4479,340
2024-06-01 19:45:00-07:00,4481,340
2024-06-01 19:50:00-07:00,4461,339
2024-06-01 19:55:00-07:00,4478,339
2024-06-01 20:00:00-07:00,4479,339
2024-06-01 20:05:00-07:00,4492,339
2024-06-01 20:10:00-07:00,4511,339
