Time,Large Hydro,Small Hydro
2022-06-01 00:00:00-07:00,2111,278
2022-06-01 00:05:00-07:00,2041,281
2022-06-01 00:10:00-07:00,2063,289
2022-06-01 00:15:00-07:00,2037,290
2022-06-01 00:20:00-07:00,2020,291
2022-06-01 00:25:00-07:00,2016,290
2022-06-01 00:30:00-07:00,2021,290
2022-06-01 00:35:00-07:00,2017,290
2022-06-01 00:40:00-07:00,1999,290
2022-06-01 00:45:00-07:00,2001,289
2022-06-01 00:50:00-07:00,1973,289
2022-06-01 00:55:00-07:00,1975,289
2022-06-01 01:00:00-07:00,1957,289
2022-06-01 01:05:00-07:00,1897,288
2022-06-01 01:10:00-07:00,1882,289
2022-06-01 01:15:00-07:00,1901,290
2022-06-01 01:20:00-07:00,1898,290
2022-06-01 01:25:00-07:00,1898,289
2022-06-01 01:30:00-07:00,1897,289
2022-06-01 01:35:00-07:00,1901,290
2022-06-01 01:40:00-07:00,1902,291
2022-06-01 01:45:00-07:00,1887,290
2022-06-01 01:50:00-07:00,1836,289
2022-06-01 01:55:00-07:00,1869,289
2022-06-01 02:00:00-07:00,1871,289
2022-06-01 02:05:00-07:00,1877,281
2022-06-01 02:10:00-07:00,1879,276
2022-06-01 02:15:00-07:00,1885,276
2022-06-01 02:20:00-07:00,1873,275
2022-06-01 02:25:00-07:00,1871,276
2022-06-01 02:30:00-07:00,1881,276
2022-06-01 02:35:00-07:00,1891,276
2022-06-01 02:40:00-07:00,1883,276
2022-06-01 02:45:00-07:00,1878,276
2022-06-01 02:50:00-07:00,1889,277
2022-06-01 02:55:00-07:00,1893,278
2022-06-01 03:00:00-07:00,1889,277
2022-06-01 03:05:00-07:00,1896,277
2022-06-01 03:10:00-07:00,1903,277
2022-06-01 03:15:00-07:00,1894,277
2022-06-01 03:20:00-07:00,1890,277
2022-06-01 03:25:00-07:00,1887,276
2022-06-01 03:30:00-07:00,1891,275
2022-06-01 03:35:00-07:00,1890,275
2022-06-01 03:40:00-07:00,1894,276
