date,temp_max_c
2017-06-01,29.9
2017-06-02,33.6
2017-06-03,36.4
2017-06-04,35.1
2017-06-05,34.3
2017-06-06,35.9
2017-06-07,35.1
2017-06-08,30.5
2017-06-09,28.4
2017-06-10,26.6
2017-06-11,23.4
2017-06-12,25.2
2017-06-13,28.7
2017-06-14,33.3
2017-06-15,35.2
2017-06-16,36.2
2017-06-17,38.9
2017-06-18,40.4
2017-06-19,42.3
2017-06-20,42.9
2017-06-21,41.2
2017-06-22,42.5
2017-06-23,41.3
2017-06-24,39.3
2017-06-25,39.1
2017-06-26,36.7
2017-06-27,34.9
2017-06-28,34.8
2017-06-29,36.0
2017-06-30,36.1
2017-07-01,34.3
2017-07-02,35.8
2017-07-03,37.3
2017-07-04,39.0
2017-07-05,39.0
2017-07-06,39.9
2017-07-07,41.3
2017-07-08,41.4
2017-07-09,41.3
2017-07-10,40.8
2017-07-11,39.6
2017-07-12,38.2
2017-07-13,38.2
2017-07-14,39.1
2017-07-15,38.9
2017-07-16,39.6
2017-07-17,41.2
2017-07-18,38.5
2017-07-19,36.8
2017-07-20,35.8
2017-07-21,36.2
2017-07-22,37.8
2017-07-23,40.4
2017-07-24,37.8
2017-07-25,36.2
2017-07-26,37.3
2017-07-27,39.0
2017-07-28,40.2
2017-07-29,39.8
2017-07-30,39.4
2017-07-31,39.9
2017-08-01,40.3
2017-08-02,42.2
2017-08-03,39.4
2017-08-04,37.8
2017-08-05,38.1
2017-08-06,37.0
2017-08-07,36.2
2017-08-08,36.9
2017-08-09,36.8
2017-08-10,37.0
2017-08-11,38.0
2017-08-12,38.2
2017-08-13,37.3
2017-08-14,33.9
2017-08-15,30.6
2017-08-16,32.6
2017-08-17,36.0
2017-08-18,36.8
2017-08-19,37.5
2017-08-20,35.6
2017-08-21,34.9
2017-08-22,35.8
2017-08-23,36.4
2017-08-24,36.2
2017-08-25,38.4
2017-08-26,40.1
2017-08-27,40.2
2017-08-28,41.8
2017-08-29,41.3
2017-08-30,39.1
2017-08-31,38.9
2017-09-01,40.5
2017-09-02,42.7
2017-09-03,41.1
2017-09-04,37.9
2017-09-05,35.8
2017-09-06,35.9
2017-09-07,33.3
2017-09-08,32.9
2017-09-09,33.9
2017-09-10,37.2
2017-09-11,35.4
2017-09-12,34.6
2017-09-13,31.1
2017-09-14,28.0
2017-09-15,28.5
2017-09-16,30.7
2017-09-17,32.4
2017-09-18,30.5
2017-09-19,26.6
2017-09-20,27.8
2017-09-21,22.4
2017-09-22,23.3
2017-09-23,25.1
2017-09-24,26.9
2017-09-25,29.0
2017-09-26,31.0
2017-09-27,33.3
2017-09-28,33.4
2017-09-29,32.9
2017-09-30,28.7
