date,temp_max_c
2023-06-01,30.7
2023-06-02,31.3
2023-06-03,34.2
2023-06-04,36.3
2023-06-05,32.9
2023-06-06,26.2
2023-06-07,22.5
2023-06-08,28.6
2023-06-09,31.0
2023-06-10,27.8
2023-06-11,28.6
2023-06-12,28.4
2023-06-13,30.9
2023-06-14,32.9
2023-06-15,34.1
2023-06-16,34.0
2023-06-17,36.8
2023-06-18,34.2
2023-06-19,27.6
2023-06-20,28.3
2023-06-21,30.3
2023-06-22,29.9
2023-06-23,28.3
2023-06-24,30.5
2023-06-25,30.9
2023-06-26,31.3
2023-06-27,31.6
2023-06-28,33.9
2023-06-29,36.1
2023-06-30,41.1
2023-07-01,43.7
2023-07-02,44.4
2023-07-03,41.2
2023-07-04,38.5
2023-07-05,38.2
2023-07-06,36.0
2023-07-07,35.3
2023-07-08,34.1
2023-07-09,33.1
2023-07-10,34.2
2023-07-11,37.8
2023-07-12,39.5
2023-07-13,39.8
2023-07-14,40.7
2023-07-15,43.6
2023-07-16,45.1
2023-07-17,44.8
2023-07-18,42.3
2023-07-19,41.5
2023-07-20,41.8
2023-07-21,42.8
2023-07-22,44.1
2023-07-23,44.7
2023-07-24,40.9
2023-07-25,41.3
2023-07-26,42.4
2023-07-27,41.4
2023-07-28,40.5
2023-07-29,41.0
2023-07-30,41.5
2023-07-31,41.2
2023-08-01,38.9
2023-08-02,35.7
2023-08-03,34.1
2023-08-04,36.0
2023-08-05,38.3
2023-08-06,40.3
2023-08-07,41.3
2023-08-08,39.5
2023-08-09,37.2
2023-08-10,36.0
2023-08-11,35.7
2023-08-12,37.6
2023-08-13,39.2
2023-08-14,41.9
2023-08-15,42.8
2023-08-16,42.5
2023-08-17,42.1
2023-08-18,39.0
2023-08-19,38.2
2023-08-20,28.4
2023-08-21,31.5
2023-08-22,31.5
2023-08-23,35.4
2023-08-24,36.9
2023-08-25,35.3
2023-08-26,36.6
2023-08-27,37.2
2023-08-28,37.8
2023-08-29,37.7
2023-08-30,36.8
2023-08-31,39.6
2023-09-01,35.5
2023-09-02,29.8
2023-09-03,25.9
2023-09-04,29.7
2023-09-05,33.3
2023-09-06,34.2
2023-09-07,34.7
2023-09-08,37.5
2023-09-09,37.2
2023-09-10,36.0
2023-09-11,35.3
2023-09-12,35.1
2023-09-13,34.8
2023-09-14,35.6
2023-09-15,36.3
2023-09-16,34.3
2023-09-17,31.1
2023-09-18,30.1
2023-09-19,30.7
2023-09-20,31.6
2023-09-21,28.2
2023-09-22,29.3
2023-09-23,30.9
2023-09-24,31.5
2023-09-25,30.3
2023-09-26,29.9
2023-09-27,29.9
2023-09-28,29.8
2023-09-29,30.6
2023-09-30,22.7
